content,score
"tokopedia diambang kebangkrutan kali ya.. pesenan lama buanget diproses dan juga banyak bug kaya ga selalu diupdate. dan yg jualan sedikit, ga kaya shopee",2
ok,5
"spam iklan produk tapaxco, sudah di report tetap muncul",1
excelensi sangat bagus,5
bagus,5
masa mau verif 21+ harus ada akun gojek sih wkwkwk maksa bener harus pake gopay bayar nya,1
Nice Effort,4
kasih 4 dulu karna blm bagus po gak untuk belanja,4
Terlalu berat kalau di buka,5
good,5
siip,5
Good,4
terbaik,5
waktu login server eror terus...😡 akun sayagk bisa login.. gimana ini!!,1
Update Update terus😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2
admin ramah,4
good,5
tdk bisa daftar pkek nomor lama,1
waw,5
sekarang lama dengan aplikasi ini. pengiriman dengan yg terterah tdk sesuai. tulis 2 hari. sy pny barang sdh 1 minggu di ekpedisi. tdk di antar. padahal sama kota.,1
sangat bagus👍🏻👍🏻👍🏻👍🏻👍🏻,5
"knpa ya skrang estimasi pengiriman nya tdk jelas btas waktunya,, klo dulu kn lengkap ada perkiraan estimasi tiba paketnya smpek tgl berpa,, tpi skrang tdk ada,,mending kyak dulu lengkap detail pengirimannya,, kn kita tau paket sdh smpek mna,,dn klo sdh sampek dtempat estimasi terdekat, sn belum skirim oleh kurir,,kita bisa gampang ambil barang k tempat gerai",5
"Tokoidiot aplikasinya makin payah saja! Masa tidak buka apk beberapa hari langsung logout, benar-benar payah!",2
kenapa ongkir mahal bngeet,1
oke,5
sangat mudah untuk transaksi belanja,5
"metode pembayaran, semoga yang saya beli bermanfaat",5
"Tolong buat share link tokopedia affiliate lebih mudah, terutama buat share link ke aplikasi sosmed. Saya share di X gak otimatis muncul gambarnya, gak kayak share link lewat tiktok affiliate.",3
great,5
Harga barang lebih mahal daripada marketplace yang lain padahal tokonya sama. Kok bisa?,1
"ribet ajg, mau bayar ga biza mulu sstaan",1
good,5
"Dulu fitur searching nya menjadi salah satu yang terbaik, sekarang? Terburuk, paling buruk di antara marketplace lain. Developer nya ntah gimana",1
ongkir mahal kalah dengan yang di sebelah ongkir murah dan byk gratis ongkir.,1
"tokopedia seenaknya merubah estimasi barang tiba di aplikasi. saya sudah 11 hari barang tidak datang, dan status pengirimannya berhenti. pengiriman biasanya 3 hari datang, jadi 11 hari ini dari mana? saya punya barang checkout, dan semuanya lama.",1
sudah 2x di update tetap minta di update terus 🤦🏼‍♀️,1
"tolong lah min ini,ga pernah nyari produk dewasa tapi selalu muncul terus ganggu banget,udah aktifin safe search,hapus produk tersebut masih aja muncul",1
Jelek ga bisa pesan pakai bebas ongkir,1
Tiba2 akun yang awalnya sudah terdaftar Plus dihentikan dengan sebab dan tuduhan yang tidak pernah saya lakukan. Saya berulang kali hubungi CS dan sampai sekarang tidak bisa menyelesaikan persoalan ini.,1
ok,5
"Makin kesini aplikasi Toped, makin tidak mempedulikan customer. Sering belanja d aplikasi ini, tapi 2 tahun belakangan banyak toko yg official store tp barangnya d sisipin barang palsu mulai dari fashion merk terkenal dg harga mahal tp packingnya hanya plastik n Quality rendah, ada bbrp obat yg palsu, bahkan sering notanya nyampe duluan tp barangnya blm datang juga, yg terakhir beli alat elektronik tp d tipu sama penjualnya. Bikin repot pembeli.Krn sdh keseringan mending sy hapus aplikasinya,",1
👍,4
Cepat dan Amanah,4
"dulu selalu pake toped karna pengguna gopay, tapi tadi saya cek nggak gratis ongkir balik lagi ke oren 🤭 harga lebih rendah gratis ongkir",1
ok,5
nice,5
Mantap,5
"jelek error mulu, sudah gonta ganti koneksi tetep saja masih bagus waktu sebelum update",1
oke banget terimakasih,5
MANTAP PROMONYA😍😍😍😍,5
"Tokopedia ongkirnya mahal mahal sekali,sama kayak di tiktok semenjak gratis ongkir di hilangkan jadi males belanja di Tokopedia dan di tiktok,,,",1
bagus,5
"Semakin kesini aplikasinya bukan tambah bagus, ada notifikasi tapi ga ada isinya",2
da bes,5
"Proses sudah filter, masuk item, kembali, filternya selalu balik ke awal.",1
"Seneng sih, sebenernya ini pembelian pertama udah di kasih banyak diskon diskon spesial sama gratis ongkir, tapi kenapa pengirimannya gak sesuai di tanggal estimasi ya? sama status pengirimannya kurang akurat menurut saya",5
media pencarian kacau,4
aplikasi lebih disederhanakan,4
benahi noh menu pencarian error terus,3
"aplikasi tidak stabil, banyak scamnya",1
"dulu metode pembayaran cod bisa, tapi sekarang mau ceckout pakai pembayaran cod malah gk bisa payah",2
"hati2 buat yang mau jualan di tokopedia, tokopedia sekarang dah jauh dari yang sebelumnya.. saya penjual selama 8 tahun, baru kali ini rugi nombok terus sampai mau bangkrut .. ada pembeli yang retur, penjual yang kena saldo negatif nya yang nanggung semua biaya ongkos dan biaya barangnya.. dah mulai kacau tokopedia, dah mulai ga waras. admin2 tokopedia nya sekarang di kelola sama oknum2 penjahat.",1
top,4
okay baik,5
ongkir nya di murahin dong kalo bayar cod...biar slalu belanja dsini.pengguna baru nih aku..,4
di update bukanya bagus & lancar malah berat aplikasinya. aplikasinya di buka kluar sendiri parah bener. apalagi promonya min blanja ratusan baru dpt promo. mau hps akun ja dah. tokped khusus hp klas atas hp kentang ga mendukung. mungkin klo ada versi lite kukasih bintang 5.,1
"tadinya upload gampang dan mudah. sekarang sudah nggak bisa upload. disuruh konek ke tiktok, tapi sudah di konek tapi ga bisa. katanya tidak memenuhi syarat, padahal sebelumnya aman-aman aja jualan disini.",1
Asli gak jelas akhir' ini. nyari barang selalu dikasih lihat barang yg sama berulang-ulang. produknya hanya itu' aja. seolah-olah hanya di dominasi sama 4-5 toko aja KAGAK JELAS,1
"bagus sih mudah di pakai nya, tapi kenapa yah fitur paylater saya tiba-tiba sekarang susah di pakai? dan fitur paylater nya malah jadi non aktif sendiri? kira² kenapa yah? ntar balik lagi kalau fitur paylater saya udah kembali aktif lagi , entah salah nya di manah? padahal ga pernah telat dah perasaan",2
"saya menerima barang palsu dan ketika pengembalian barang return ke penjual tidak sampai sampai ke tangan penjual sehingga saya tidak dapat menerima uang saya kembali, layanannya jelek dan gak bertanggung jawab",1
plusnya kok mahal sekarang,5
mantaapss.. baguss.. promoo terusss,5
"Kenapa kurir di Tokopedia sekarang ekspedisinya lama-lama ya? harusnya milih ekspedisi itu terserah buyernya bukan dari rekomendasi dari lu!!!. Tolonglah ditingkatkan lagi, dari pengiriman yang harusnya bisa 2 hari sekarang menjadi 4 hari atau lebih. Tiru tuh kompetitor lu si shopee, mungkin ini jadi terakhir kali pakai tokped.",1
"kecewa perihal pengisian paket/pulsa karna nomer nya sudah tersimpan di history, sering kali buru buru ngisi jadi yg di isi nomer orang ,, saya udah rugi banyak karna sistem tersebut udah ratusan kali salah isi,, di saat terburu buru",1
baik N good too,5
"Tokopedia nyaman dan banyak pilihan produk, tapi akurasi lokasi kadang kurang tepat. Estimasi ongkir dan pengiriman jadi kurang akurat. Semoga fitur lokasi bisa lebih presisi supaya belanja makin mudah dan cepat.",4
Sangat recommended untuk berbelanja online,5
"banyak promo yang hanya gimmick belaka , seperti kaya iklan tv",1
"Update terus ampe 500Gb ped gpp, memori hp sya 200Tb . Sejak gabung sama tiktok, pelayananmu jadi busuk, lemot dan bug sana sini",1
aplikasi sekarang terasa lebih berat dan sulit di buka di jaringan yg tidak setabil. harus jaringannya benar2 bagus baru bisa akses. parah malah kaya apps shopee jaman dulu👎,1
"Ada apa dengan tokopedia sekarang? saya tidak bisa cek limit dan bayar tagihan..loading terus,,,,tolong dong,,saya kan harus bayar tagihan ,,mana sebentar lagi mau jatuh tempo,,tolong balas e mail saya,,",5
4 * aja dlu karna baru make fiturnya...😆,4
"lacak status paketnya kurang lengkap, tudak di jelaskan sudah sampai mananya",4
"tolong tingkatkan lagi untuk kurir nya, klau bisa pake sicepat, biar cepat pengiriman nyah,",2
respon cepat....bagus sekali,5
apalah baru make3 hari akunya udah gada promo lagi.. voucher pada ilang,1
"k , h",2
penipu di bilangnya instan 3 jam nyatanya barang ga dikirim kirim akhirnya duit orang ngendep di tokopedia cara kotor nyari duit,1
good,5
belanja lebih mudah & tidak ribet,5
aplikasi penipuan masa saya bayar paket lewat brilink belum masuk pembayarannya padahal sudah di bayar di brilink,1
"Di update malah riwayat transaksi hilang, pembelian yang masih belum sampai/dalam pengiriman juga hilang.....skr nambah lg masalah kasih ulasan+foto & video yang ktnya dpt gopay coin sdh beberapa x amsiong...",1
kenapa buat top up gopay gk bisa sh,2
byk yg lebih mahal dibanding si orange,3
kenapa dipush notif kursi terus,1
bugging,1
bagus banget,5
"Pengiriman ekpedisi berhari2 bikin barang telat , hub. Cs kurir atau tokped gajelas cuma suruh sabar , pelayanan kurir2 yg telat mohon dievaluasi , kita jg bayar loh utk kirimanya ga cm free saja . Tolong cek lagi kurir ekspedisi yg selalu lewat batas kirim Kalo gini terus konsumen rugi tunggu Rate toko juga malah jadi jelek karena kurir lama Jangan sampai tokped di uninstal gara2 layanan kurir yg lama . Tolong di perhatikan bukan hanya nanti di evaluasi tapi aktual tidak ada perubahan !",1
mantap mudah untuk transaksi,3
oke,5
murah,5
kon***,5
Tolong diperbaiki,3
"SEPERTI APLIKASI YANG TIDAK TERURUS SEJAK DI AMBIL ALIH SAMA TIKTOK MAKIN ANCUR APLIKASI INI, SEBAGAI SELLER DAN BUYER CUKUP KECEWA DENGAN KEADAAN TOKOPEDIA SEKARANG",1
"Semoga Semuanya menjadi Banyak Manfaat ( Khairun nasi anfau'hum linmas ) ,Thank you Friend !",3
hoax bukanya dapet harga murah..malah semua voucher tiba tiba ilang,1
sekarang makin buruk ga bisa posting ulasan :( mana gak bisa login pula tapi msih lebih bagus dari shoope,3
apk nya sangat bagus,5
"FITURNYA DIKEMBANGKAN DONG KAYA E-commerce SEBELAH! Jasa pengiriman masa random gak bisa pilih sesuai pembeli, gak ada pilihan kurirnya! payah 👎",1
saya sudah balikin barang ke toko karna barang tidak sesuai terlalu ribet pengembalian saldo nya jangan belanja di toko pedia lagi teman teman saya kecewa bayak toko yg tidak amanah di toko pedia hati hati klo belanja online mending belanja di toko langsung lebih aman,1
"g jelas koneksi timeout Mulu kalo nyari barang, harus di refresh baru bisa heran ini bug kah?",1
